Age,Gender,Years at Address,Employment Status,Country,Current Debt,Postcode,Income,Housing,CCJs,Loan Amount,Outcome
19,M,2,Unemployed,UK,0.0,TA3 7SH,45500.0,Rent,1,13234.0,Paid
66,F,13,Unemployed,UK,1080.0,WV6 8SU,21000.0,Own,0,5561.0,Paid
48,F,4,Self Employed,UK,3690.0,BT15 5HG,47500.0,Rent,1,28288.0,Paid
67,F,42,Self Employed,UK,6560.0,GU10 3NH,36000.0,Mortgage,0,30199.0,Paid
70,M,8,Self Employed,UK,9100.0,GL6 6UB,50500.0,Own,0,35078.0,Paid
77,F,5,Self Employed,UK,8850.0,PH2 7RS,21000.0,Mortgage,2,5513.0,Paid
28,F,3,Unemployed,UK,2150.0,JE3 1HG,49000.0,Own,1,6159.0,Paid
47,M,2,Unemployed,UK,2560.0,EX17 6RA,30500.0,Own,0,25813.0,Paid
25,F,8,Self Employed,UK,6130.0,BR2 8QG,40000.0,Own,0,25885.0,Paid
89,F,42,Employed,UK,1090.0,SO20 8HZ,34500.0,Own,3,15398.0,Paid
78,F,42,Employed,UK,9820.0,CF62 3DD,36500.0,Own,0,18974.0,Defaulted
62,M,23,Self Employed,UK,980.0,S2 3QL,22500.0,Own,0,20925.0,Paid
68,M,25,Employed,UK,9460.0,IV55 8GB,21000.0,Own,2,2218.0,Defaulted
73,F,28,Self Employed,UK,8550.0,W11 4RD,52000.0,Rent,0,41973.0,Defaulted
72,M,25,Employed,UK,7790.0,JE2 3JB,51500.0,Rent,3,42697.0,Defaulted
20,M,2,Employed,UK,30.0,LL57 4TQ,21000.0,Mortgage,1,4132.0,Paid
43,M,18,Employed,UK,500.0,BR2 8QA,22500.0,Mortgage,3,21901.0,Defaulted
83,M,37,Self Employed,UK,20.0,BT9 6JN,27500.0,Own,2,22036.0,Defaulted
65,F,33,Self Employed,UK,3700.0,GU28 0AB,31000.0,Mortgage,0,19737.0,Paid
82,M,32,Self Employed,UK,560.0,N7 6DH,52000.0,Mortgage,1,31498.0,Paid
38,M,15,Unemployed,UK,1410.0,OX33 1UU,24500.0,Own,1,8089.0,Paid
44,M,4,Self Employed,UK,1940.0,HP22 5TY,21000.0,Mortgage,3,5589.0,Defaulted
76,M,42,Self Employed,UK,4710.0,TQ13 8HU,21000.0,Mortgage,0,318.0,Paid
81,M,42,Employed,UK,2620.0,IM7 5EX,21000.0,Mortgage,1,14218.0,Defaulted
19,F,2,Self Employed,UK,780.0,CO10 0AT,40000.0,Own,0,27177.0,Defaulted
35,M,9,Self Employed,UK,1400.0,BR2 6HW,33000.0,Own,2,17267.0,Defaulted
69,M,2,Self Employed,UK,10.0,GL55 6SL,42000.0,Own,0,7422.0,Paid
30,M,2,Self Employed,UK,150.0,RM4 1EX,51500.0,Own,0,29792.0,Paid
68,M,2,Self Employed,UK,3530.0,BT9 5QU,44500.0,Own,2,27439.0,Defaulted
26,F,7,Unemployed,UK,4480.0,DT10 1PP,26500.0,Own,3,9548.0,Defaulted
88,M,23,Self Employed,UK,4100.0,NE2 2HE,34500.0,Own,0,16079.0,Paid
79,M,25,Self Employed,UK,150.0,LS21 1HL,52000.0,Mortgage,0,18079.0,Paid
61,M,21,Self Employed,UK,660.0,BT67 0NA,50000.0,Rent,0,13624.0,Paid
66,M,35,Unemployed,UK,1030.0,PE31 7HH,32000.0,Own,0,19593.0,Paid
19,M,2,Self Employed,UK,1640.0,SA3 4SJ,24000.0,Own,2,20772.0,Defaulted
72,M,4,Self Employed,UK,1050.0,KT10 8HY,22500.0,Mortgage,0,4019.0,Paid
67,M,27,Self Employed,UK,8520.0,IG10 1HN,52000.0,Mortgage,2,313.0,Defaulted
45,M,2,Employed,UK,1290.0,N12 9JN,39500.0,Mortgage,1,1976.0,Paid
85,M,10,Self Employed,UK,3460.0,BH24 2JY,51000.0,Own,0,1584.0,Paid
